pair,elapsed_bin,direction,period,orders,filled,decided,wins,fill_rate,win_rate,avg_pips,ev_signal
USD_JPY,31-60m,-1,test,7.0,6.0,6.0,2.0,0.8571428571428571,0.3333333333333333,-2.75,-2.357142857142857
USD_JPY,31-60m,-1,train,26.0,17.0,17.0,10.0,0.6538461538461539,0.5882352941176471,0.9941176470588234,0.6499999999999999
USD_JPY,31-60m,1,test,2.0,2.0,2.0,1.0,1.0,0.5,0.5999999999999999,0.5999999999999999
USD_JPY,31-60m,1,train,21.0,15.0,15.0,8.0,0.7142857142857143,0.5333333333333333,0.19333333333333289,0.13809523809523777
USD_JPY,61-180m,-1,test,159.0,130.0,130.0,42.0,0.8176100628930818,0.3230769230769231,-1.62,-1.3245283018867926
USD_JPY,61-180m,-1,train,1115.0,599.0,599.0,211.0,0.537219730941704,0.35225375626043404,-1.144908180300501,-0.6150672645739911
USD_JPY,61-180m,1,test,206.0,176.0,176.0,64.0,0.8543689320388349,0.36363636363636365,-1.5977272727272729,-1.3650485436893207
USD_JPY,61-180m,1,train,754.0,522.0,522.0,220.0,0.6923076923076923,0.421455938697318,-0.49865900383141754,-0.3452254641909814
USD_JPY,181-360m,-1,test,127.0,120.0,120.0,37.0,0.9448818897637795,0.30833333333333335,-1.5525,-1.4669291338582677
USD_JPY,181-360m,-1,train,2452.0,1691.0,1691.0,1354.0,0.6896411092985318,0.8007096392667061,3.918391484328801,2.7022838499184347
USD_JPY,181-360m,1,test,297.0,152.0,152.0,70.0,0.5117845117845118,0.4605263157894737,0.2894736842105261,0.14814814814814803
USD_JPY,181-360m,1,train,1749.0,660.0,660.0,291.0,0.37735849056603776,0.4409090909090909,0.404090909090909,0.1524871355060034
USD_JPY,361-720m,-1,test,66.0,65.0,65.0,18.0,0.9848484848484849,0.27692307692307694,-1.924615384615385,-1.8954545454545457
USD_JPY,361-720m,-1,train,424.0,167.0,167.0,60.0,0.3938679245283019,0.3592814371257485,-0.4371257485029942,-0.1721698113207548
USD_JPY,361-720m,1,test,157.0,81.0,81.0,37.0,0.5159235668789809,0.4567901234567901,0.5061728395061729,0.2611464968152866
USD_JPY,361-720m,1,train,494.0,279.0,277.0,120.0,0.5647773279352226,0.4332129963898917,0.014079422382671295,0.00789473684210516
USD_JPY,721-1440m,-1,test,20.0,20.0,20.0,12.0,1.0,0.6,3.009999999999999,3.009999999999999
USD_JPY,721-1440m,-1,train,175.0,34.0,34.0,14.0,0.19428571428571428,0.4117647058823529,0.12647058823529403,0.024571428571428557
USD_JPY,721-1440m,1,test,676.0,632.0,632.0,597.0,0.9349112426035503,0.944620253164557,12.382594936708859,11.57662721893491
USD_JPY,721-1440m,1,train,281.0,167.0,167.0,49.0,0.594306049822064,0.2934131736526946,-2.3640718562874254,-1.4049822064056943
USD_JPY,1441-2880m,-1,train,674.0,52.0,52.0,28.0,0.0771513353115727,0.5384615384615384,3.5250000000000004,0.2719584569732938
USD_JPY,1441-2880m,1,test,52.0,46.0,46.0,15.0,0.8846153846153846,0.32608695652173914,-1.2413043478260868,-1.098076923076923
USD_JPY,1441-2880m,1,train,181.0,65.0,65.0,40.0,0.35911602209944754,0.6153846153846154,2.3,0.8259668508287292
USD_JPY,2881-4320m,-1,test,3.0,3.0,3.0,0.0,1.0,0.0,-7.900000000000001,-7.900000000000001
USD_JPY,2881-4320m,-1,train,143.0,41.0,41.0,24.0,0.2867132867132867,0.5853658536585366,2.341463414634146,0.6713286713286714
USD_JPY,2881-4320m,1,test,44.0,32.0,32.0,5.0,0.7272727272727273,0.15625,-4.390625,-3.1931818181818183
USD_JPY,2881-4320m,1,train,127.0,61.0,61.0,23.0,0.48031496062992124,0.3770491803278688,-1.0081967213114755,-0.4842519685039371
USD_JPY,4321-7200m,-1,test,41.0,10.0,10.0,7.0,0.24390243902439024,0.7,7.499999999999998,1.8292682926829265
USD_JPY,4321-7200m,-1,train,69.0,33.0,33.0,14.0,0.4782608695652174,0.42424242424242425,1.727272727272727,0.826086956521739
USD_JPY,4321-7200m,1,test,62.0,29.0,29.0,12.0,0.46774193548387094,0.41379310344827586,-0.7655172413793107,-0.3580645161290324
USD_JPY,4321-7200m,1,train,76.0,40.0,40.0,22.0,0.5263157894736842,0.55,3.1925,1.680263157894737
USD_JPY,7201-10080m,-1,test,3.0,3.0,3.0,0.0,1.0,0.0,-7.900000000000001,-7.900000000000001
USD_JPY,7201-10080m,-1,train,5.0,5.0,5.0,2.0,1.0,0.4,0.7399999999999999,0.7399999999999999
USD_JPY,7201-10080m,1,test,19.0,16.0,16.0,6.0,0.8421052631578947,0.375,-2.3375000000000004,-1.9684210526315793
USD_JPY,7201-10080m,1,train,3.0,3.0,3.0,0.0,1.0,0.0,-7.900000000000001,-7.900000000000001
USD_JPY,10081-15000m,-1,train,2.0,2.0,2.0,0.0,1.0,0.0,-7.9,-7.9
USD_JPY,10081-15000m,1,test,6.0,4.0,4.0,3.0,0.6666666666666666,0.75,6.125,4.083333333333333
USD_JPY,10081-15000m,1,train,14.0,12.0,12.0,5.0,0.8571428571428571,0.4166666666666667,0.13333333333333316,0.11428571428571413
USD_JPY,15001m+,-1,train,3.0,3.0,3.0,1.0,1.0,0.3333333333333333,-2.1333333333333333,-2.1333333333333333
USD_JPY,15001m+,1,test,24.0,23.0,23.0,11.0,0.9583333333333334,0.4782608695652174,1.169565217391304,1.120833333333333
USD_JPY,15001m+,1,train,17.0,17.0,17.0,9.0,1.0,0.5294117647058824,0.7294117647058822,0.7294117647058822
USD_JPY,no_touch_in_history,-1,train,2.0,2.0,2.0,1.0,1.0,0.5,2.8999999999999995,2.8999999999999995
USD_JPY,no_touch_in_history,1,test,653.0,628.0,628.0,14.0,0.9617151607963247,0.022292993630573247,-5.1734076433121015,-4.975344563552833
USD_JPY,no_touch_in_history,1,train,43.0,39.0,39.0,17.0,0.9069767441860465,0.4358974358974359,1.0256410256410258,0.9302325581395351
EUR_USD,31-60m,-1,test,38.0,31.0,31.0,14.0,0.8157894736842105,0.45161290322580644,-0.24838709677419352,-0.2026315789473684
EUR_USD,31-60m,-1,train,94.0,70.0,70.0,30.0,0.7446808510638298,0.42857142857142855,-0.5099999999999999,-0.37978723404255316
EUR_USD,31-60m,1,test,32.0,25.0,25.0,9.0,0.78125,0.36,-1.5719999999999998,-1.228125
EUR_USD,31-60m,1,train,100.0,79.0,79.0,36.0,0.79,0.45569620253164556,-0.029113924050632966,-0.02300000000000004
