pair,period,direction,orders,fill_rate,decided,win_rate,avg_pips,ev_signal
USD_JPY,前9か月,-1,5090.0,0.5198428290766208,2646.0,0.6496598639455783,2.3476946334089193,1.220432220039293
USD_JPY,前9か月,1,3760.0,0.5,1878.0,0.4281150159744409,-0.07220447284345055,-0.03606382978723408
USD_JPY,後3か月,-1,426.0,0.8380281690140845,357.0,0.33053221288515405,-1.262464985994398,-1.0579812206572772
USD_JPY,後3か月,1,2198.0,0.8284804367606915,1821.0,0.4585392641405821,2.2933003844041724,1.8999545040946304
EUR_USD,前9か月,-1,17045.0,0.38527427398063946,6558.0,0.43183897529734677,0.7486428789265019,0.28803754766793777
EUR_USD,前9か月,1,21083.0,0.2990086799791301,6301.0,0.3464529439771465,-0.9490080939533408,-0.2836266186026657
EUR_USD,後3か月,-1,5382.0,0.3965068747677443,2130.0,0.3732394366197183,-0.6764788732394367,-0.2677257525083612
EUR_USD,後3か月,1,6245.0,0.3269815852682146,2038.0,0.29244357212953875,-2.1826790971540726,-0.7122978382706165
AUD_USD,前9か月,-1,4811.0,0.4668468093951361,2240.0,0.5508928571428572,1.7375,0.8089794221575556
AUD_USD,前9か月,1,6854.0,0.33863437408812375,2311.0,0.2803980960623107,-2.82916486369537,-0.9539247154946017
AUD_USD,後3か月,-1,1243.0,0.47304907481898634,587.0,0.45826235093696766,0.10596252129471889,0.05004022526146419
AUD_USD,後3か月,1,2465.0,0.47991886409736306,1183.0,0.18765849535080303,-3.3363482671174975,-1.6011764705882352
